release,dataSet,met/statusYear,domain/modelVersion,dataSource,dataDestination,diskSize,md5sum
201609,output,2014,rv4_10,{FTP}/{REL}/model_results_rv4_10_2014/Base_model_rv4_10_results.tar.bz2,,3954333584,e3a1bc45b0ad1ff5c18932547443d4a3
201609,meteo,2014,,{FTP}/{REL}/input_data/meteo/meteo201401.tar.bz2,,1923832453,a2d4b20f411395dfd4dd1ee7de3f774a
201609,meteo,2014,,{FTP}/{REL}/input_data/meteo/meteo201402.tar.bz2,,1728260551,7cd5ad29ef1473eb2e4f53462a9b5453
201609,meteo,2014,,{FTP}/{REL}/input_data/meteo/meteo201403.tar.bz2,,1912463607,17ad2e62796d25a126e853a6ed94b261
201609,meteo,2014,,{FTP}/{REL}/input_data/meteo/meteo201404.tar.bz2,,1850254385,2f62ed66f4e9542e7ecd26c71453297b
201609,meteo,2014,,{FTP}/{REL}/input_data/meteo/meteo201405.tar.bz2,,1907662544,7c5ceb72922f05b5a6a94d7a0d660c8a
201609,meteo,2014,,{FTP}/{REL}/input_data/meteo/meteo201406.tar.bz2,,1847803408,8f6f173397f617f0cefd1a0506ab6e45
201609,meteo,2014,,{FTP}/{REL}/input_data/meteo/meteo201407.tar.bz2,,1895722717,099ad6f46bc953cdb4de7b41ec02072c
201609,meteo,2014,,{FTP}/{REL}/input_data/meteo/meteo201408.tar.bz2,,1896299057,8862a424c9b55b1a62e1105b367e3db3
201609,meteo,2014,,{FTP}/{REL}/input_data/meteo/meteo201409.tar.bz2,,1849415993,11b44dd8c96db3ea63829529087452d9
201609,meteo,2014,,{FTP}/{REL}/input_data/meteo/meteo201410.tar.bz2,,1921662605,253dbb74754a1b85c54e0923809dadba
201609,meteo,2014,,{FTP}/{REL}/input_data/meteo/meteo201411.tar.bz2,,1857245870,973e3d71f60e2931679ae1b33d7b7e28
201609,meteo,2014,,{FTP}/{REL}/input_data/meteo/meteo201412.tar.bz2,,2036311088,d53e8bc117b84bb85be95607dbeddd8c
201609,docs,,rv4_10,{GIT}/releases/download/{MOD}/User_Guide.pdf,,390340,9d29b4951c7ebe4a674750f110c28610
201709,input,2015,rv4_15,{FTP}/{REL}/input_data/other_input_files.tar.bz2,,3230108000,8279a4cb391dcfcb834e14e5c0b2458d
201709,source,2017,rv4_15,{GIT}/archive/{MOD}.tar.gz,,718308,071a6838f485f9cd8e6b517ae884f9ca
201709,output,2015,rv4_15,{FTP}/{REL}/model_results_rv4_15_2015/Base_model_rv4_15_results_EECCA.tar.bz2,,2934604247,9026e4187826071c59730b67ce326978
201709,meteo,2015,EECCA,{FTP}/{REL}/input_data/meteo/meteo201501.tar.bz2,,1927109491,b8c23b105968adcefb91e06e66397cfa
201709,meteo,2015,EECCA,{FTP}/{REL}/input_data/meteo/meteo201502.tar.bz2,,1748761600,a98e532ebca02a72d40e1971cc24084b
201709,meteo,2015,EECCA,{FTP}/{REL}/input_data/meteo/meteo201503.tar.bz2,,1922556203,9e158b8c291b32d7916b270b2fd45c74
201709,meteo,2015,EECCA,{FTP}/{REL}/input_data/meteo/meteo201504.tar.bz2,,1825629075,a4c469d2afe635b1edf3c987dc3de4b6
201709,meteo,2015,EECCA,{FTP}/{REL}/input_data/meteo/meteo201505.tar.bz2,,1907866644,cf8768bb4354b417da4e39e77a420dbf
201709,meteo,2015,EECCA,{FTP}/{REL}/input_data/meteo/meteo201506.tar.bz2,,1841301770,2acdd1c30277b33c11fa9c271493de5e
201709,meteo,2015,EECCA,{FTP}/{REL}/input_data/meteo/meteo201507.tar.bz2,,1901350738,60c07e1f86d196644aa628d1d9c5520c
201709,meteo,2015,EECCA,{FTP}/{REL}/input_data/meteo/meteo201508.tar.bz2,,1904647750,c1f608f294894691b5d942347abc5870
201709,meteo,2015,EECCA,{FTP}/{REL}/input_data/meteo/meteo201509.tar.bz2,,1844986574,04cd4487bed97a8e7e5232d8ccdf1428
201709,meteo,2015,EECCA,{FTP}/{REL}/input_data/meteo/meteo201510.tar.bz2,,1932892098,9df24dc6f1ac0d06c63843b145393039
201709,meteo,2015,EECCA,{FTP}/{REL}/input_data/meteo/meteo201511.tar.bz2,,1870633545,7974005f821a027182815c9fc1dd857f
201709,meteo,2015,EECCA,{FTP}/{REL}/input_data/meteo/meteo201512.tar.bz2,,1929643105,a14ff455b75a737b75853a7a2b475ede
